"Track_ID","Time"
"1","77"
"2","24"
"3","69"
"4","21"
"5","87"
"6","27"
"7","73"
"8","22"
"9","110"
"10","36"
"11","66"
"12","20"
"13","97"
"14","31"
"15","82"
"16","25"
"17","52"
"18","4"
"19","70"
"20","22"
"21","114"
"22","36"
"23","120"
"24","38"
"25","156"
"26","44"
"27","103"
"28","22"
"29","125"
"30","39"
"31","100"
"32","31"
"33","88"
"34","28"
"35","84"
"36","27"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","-10"
"56","-10"
"57","-10"
"58","-10"
"59","-10"
"60","-10"
"61","-10"
"62","-10"
"63","-10"
"64","-10"
"65","-10"
"66","-10"
"67","-10"
"68","-10"
"69","-10"
"70","-10"
"71","-10"
"72","-10"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
"91","0"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","0"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","0"
"134","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","0"
"140","0"
"141","0"
"142","0"
"143","0"
"144","0"
"145","0"
"146","0"
"147","0"
"148","0"
"149","0"
"150","0"
"151","0"
"152","0"
"153","0"
"154","0"
"155","0"
"156","0"
"157","0"
"158","0"
"159","0"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","0"
"166","0"
"167","0"
"168","0"
"169","0"
"170","0"
"171","0"
"172","0"
"173","0"
"174","0"
"175","0"
"176","0"
"177","0"
"178","0"
"179","0"
"180","0"
"181","0"
"182","0"
"183","0"
"184","0"
"185","0"
"186","0"
"187","0"
"188","0"
"189","0"
"190","0"
"191","0"
"192","0"
"193","0"
"194","0"
"195","0"
"196","0"
"197","0"
"198","0"
"199","0"
"200","0"
"201","0"
"202","0"
"203","0"
"204","0"
"205","0"
"206","0"
"207","0"
"208","0"
"209","0"
"210","0"
"211","0"
"212","0"
"213","0"
"214","0"
"215","0"
"216","0"
